transaction_id,price,competitor_price,day_of_week,is_weekend,hour_of_day,is_peak_hour,month,season_factor,product_category,inventory_level,is_promotion,customer_rating,demand,revenue
1,81.16,75.01,5,1,11,1,8,0.0,Toys,23,1,4.96,263,21345.77
2,190.64,171.52,1,0,3,0,7,0.366,Electronics,39,0,4.87,145,27642.18
3,149.08,120.11,3,0,15,0,10,-1.7321,Books,88,0,3.49,13,1938.03
4,123.75,131.71,4,0,18,1,5,-0.366,Books,22,0,3.01,159,19675.47
5,39.64,39.09,4,0,9,1,9,-1.0,Books,55,0,4.04,166,6580.83
6,39.64,48.34,6,1,15,0,12,-0.0,Food,31,0,2.05,165,6540.43
7,21.04,15.13,2,0,4,0,11,-1.366,Books,74,0,2.41,154,3239.53
8,174.57,189.64,5,1,15,0,7,0.366,Books,47,1,4.07,118,20599.67
9,124.21,143.81,0,0,0,0,12,-0.0,Clothing,27,0,4.8,140,17389.66
10,144.53,167.04,2,0,4,0,11,-1.366,Food,98,0,4.58,39,5636.82
11,13.91,17.13,6,1,12,1,3,1.0,Food,48,0,1.29,221,3074.34
12,194.28,220.98,0,0,12,1,12,-0.0,Clothing,39,0,1.93,106,20593.98
13,168.16,211.33,5,1,2,0,6,-0.0,Electronics,88,1,2.09,176,29596.88
14,50.34,45.29,2,0,16,0,3,1.0,Books,21,0,2.53,200,10068.89
15,44.55,44.63,2,0,18,1,6,-0.0,Electronics,15,0,1.28,201,8953.9
16,44.85,31.77,4,0,4,0,8,0.0,Clothing,81,0,1.92,134,6009.48
17,67.81,47.75,0,0,4,0,9,-1.0,Clothing,45,0,3.86,117,7933.31
18,109.7,92.6,1,0,14,0,2,1.7321,Clothing,19,0,1.98,147,16126.45
19,92.07,70.02,1,0,9,1,6,-0.0,Clothing,53,0,4.77,202,18598.05
20,65.33,55.93,2,0,11,1,3,1.0,Toys,89,0,2.69,226,14765.38
21,126.25,101.79,5,1,23,0,7,0.366,Clothing,55,0,1.4,92,11615.19
22,36.5,26.18,2,0,10,1,11,-1.366,Electronics,86,0,4.37,219,7994.34
23,65.51,81.59,6,1,0,0,4,0.0,Clothing,49,0,4.66,182,11922.36
24,79.61,56.12,4,0,22,0,5,-0.366,Electronics,78,1,4.71,200,15921.75
25,96.65,110.34,6,1,20,1,10,-1.7321,Clothing,61,0,2.98,120,11598.4
26,159.18,125.96,0,0,2,0,6,-0.0,Clothing,60,0,4.68,93,14804.06
27,47.94,59.79,6,1,3,0,11,-1.366,Toys,92,0,3.84,131,6279.88
28,107.7,133.09,2,0,18,1,8,0.0,Clothing,76,0,1.78,209,22510.25
29,122.56,133.88,6,1,23,0,2,1.7321,Books,91,0,3.13,165,20222.2
30,18.83,20.77,5,1,19,1,4,0.0,Toys,24,1,2.73,279,5252.34
31,125.43,88.21,1,0,2,0,11,-1.366,Toys,86,0,2.8,31,3888.44
32,42.4,54.73,0,0,17,1,4,0.0,Books,39,1,2.65,225,9539.91
33,22.36,27.43,2,0,2,0,6,-0.0,Toys,61,0,1.7,166,3711.73
34,190.29,235.4,0,0,6,0,4,0.0,Clothing,100,1,2.56,123,23405.46
35,193.47,211.96,4,0,21,1,11,-1.366,Books,23,0,3.05,44,8512.68
36,163.6,148.36,6,1,20,1,5,-0.366,Clothing,72,0,2.14,92,15050.79
37,67.88,83.91,1,0,23,0,5,-0.366,Toys,92,0,1.71,111,7534.3
38,28.56,24.99,5,1,0,0,8,0.0,Food,93,0,1.79,168,4797.69
39,140.0,145.27,0,0,18,1,4,0.0,Books,79,1,1.77,167,23380.71
40,93.63,71.14,1,0,17,1,12,-0.0,Electronics,39,0,2.79,189,17695.88
41,33.19,41.59,6,1,1,0,6,-0.0,Toys,72,0,1.84,175,5807.77
42,104.08,81.65,2,0,11,1,7,0.366,Food,92,1,3.87,186,19359.55
43,16.53,13.8,5,1,16,0,8,0.0,Toys,97,0,2.34,187,3091.82
